OBSERVER ID,Year,Month
obsr202251,2010,8
obsr198159,2010,1
obsr123217,2010,12
obsr178004,2010,5
obsr20226,2010,1
obsr17906,2010,11
obsr17906,2010,10
obsr183556,2010,10
obsr222247,2010,8
obsr18303,2010,8
obsr18303,2010,11
obsr18128,2010,6
obsr128058,2010,6
obsr99498,2010,5
obsr198314,2010,5
obsr203489,2010,5
obsr134567,2010,4
obsr39454,2010,4
obsr181806,2010,8
obsr222247,2010,6
obsr57052,2010,1
obsr42623,2010,6
obsr20226,2010,2
obsr11194,2010,5
obsr115891,2010,11
obsr50333,2010,3
obsr252215,2010,3
obsr50333,2010,6
obsr177019,2010,8
obsr185788,2010,11
obsr29782,2010,7
obsr143147,2010,5
obsr207553,2010,2
obsr7291,2010,3
obsr110441,2010,9
obsr187253,2010,3
obsr206933,2010,10
obsr118164,2010,6
obsr178174,2010,3
obsr195365,2010,11
obsr330585,2010,2
obsr160583,2010,5
obsr202934,2010,9
obsr30058,2010,3
obsr39398,2010,5
obsr91247,2010,5
obsr110473,2010,7
obsr110473,2010,8
obsr24203,2010,9
obsr17906,2010,4
obsr7108,2010,10
obsr39454,2010,1
obsr53100,2010,6
obsr17906,2010,2
obsr210133,2010,5
obsr39944,2010,4
obsr112083,2010,6
obsr161805,2010,6
obsr213679,2010,8
obsr39944,2010,11
obsr224415,2010,5
obsr134567,2010,5
obsr110473,2010,6
obsr30058,2010,9
obsr23208,2010,6
obsr112579,2010,5
obsr1578,2010,9
obsr161805,2010,8
obsr41808,2010,8
obsr193293,2010,3
obsr206933,2010,8
obsr133408,2010,7
obsr44181,2010,6
obsr330585,2010,7
obsr51241,2010,10
obsr28990,2010,10
obsr341100,2010,5
obsr97533,2010,6
obsr53794,2010,8
obsr121444,2010,6
obsr52522,2010,9
obsr166861,2010,1
obsr146205,2010,1
obsr126575,2010,4
obsr128974,2010,1
obsr28990,2010,5
obsr50333,2010,2
obsr166632,2010,4
obsr184551,2010,5
obsr58253,2010,8
obsr161805,2010,5
obsr150845,2010,5
obsr39454,2010,8
obsr236484,2010,4
obsr229743,2010,9
obsr22151,2010,10
obsr122047,2010,1
obsr227190,2010,9
obsr21166,2010,8
obsr176734,2010,3
obsr41808,2010,5
obsr224015,2010,7
obsr190654,2010,11
obsr53100,2010,3
obsr89562,2010,4
obsr121444,2010,2
obsr121444,2010,4
obsr51241,2010,11
obsr22151,2010,12
obsr53387,2010,1
obsr53100,2010,4
obsr22151,2010,7
obsr14526,2010,6
obsr110441,2010,10
obsr150845,2010,4
obsr122218,2010,6
obsr177019,2010,3
obsr38868,2010,5
obsr195365,2010,4
obsr342555,2010,6
obsr39944,2010,8
obsr20565,2010,10
obsr195365,2010,9
obsr18777,2010,7
obsr39944,2010,3
obsr42717,2010,4
obsr165817,2010,9
obsr173272,2010,2
obsr117538,2010,4
obsr18777,2010,6
obsr51241,2010,4
obsr24203,2010,7
obsr60088,2010,12
obsr110473,2010,1
obsr161805,2010,4
obsr110959,2010,1
obsr117538,2010,5
obsr195365,2010,5
obsr31215,2010,12
obsr43068,2010,6
obsr30058,2010,2
obsr197809,2010,3
obsr50333,2010,11
obsr161403,2010,5
obsr29782,2010,5
obsr181806,2010,10
obsr53100,2010,11
obsr202511,2010,4
obsr110441,2010,6
obsr89562,2010,9
obsr215041,2010,12
obsr109517,2010,12
obsr649385,2010,3
obsr30058,2010,10
obsr146205,2010,10
obsr42623,2010,12
obsr21346,2010,12
obsr89518,2010,4
obsr404879,2010,6
obsr161403,2010,9
obsr165817,2010,10
obsr31215,2010,5
obsr197809,2010,10
obsr190508,2010,8
obsr98836,2010,9
obsr126911,2010,5
obsr50333,2010,4
obsr227219,2010,9
obsr215041,2010,2
obsr2267,2010,2
obsr97519,2010,10
obsr209698,2010,9
obsr181634,2010,5
obsr229871,2010,12
obsr192204,2010,4
obsr190508,2010,4
obsr11194,2010,3
obsr194790,2010,9
obsr30455,2010,4
obsr53100,2010,5
obsr118164,2010,12
obsr60754,2010,5
obsr122439,2010,1
obsr210133,2010,3
obsr1578,2010,8
obsr126575,2010,5
obsr14526,2010,5
obsr42623,2010,8
obsr161403,2010,7
obsr178949,2010,8
obsr30058,2010,7
obsr44181,2010,10
obsr95262,2010,9
obsr226882,2010,8
obsr184551,2010,2
obsr21346,2010,4
obsr110473,2010,5
obsr105328,2010,6
obsr30058,2010,4
obsr51241,2010,8
obsr229873,2010,9
obsr206933,2010,7
obsr165990,2010,9
obsr146205,2010,5
obsr143887,2010,5
obsr17906,2010,3
obsr282514,2010,1
obsr17906,2010,8
obsr28990,2010,7
obsr143073,2010,2
obsr229871,2010,10
obsr128311,2010,7
obsr142692,2010,10
obsr18128,2010,8
obsr198314,2010,11
obsr127757,2010,6
obsr103363,2010,2
obsr28990,2010,3
obsr39944,2010,5
obsr99498,2010,9
obsr93009,2010,12
obsr228920,2010,3
obsr97519,2010,9
obsr118164,2010,5
obsr161403,2010,12
obsr110473,2010,9
obsr280086,2010,2
obsr29782,2010,12
obsr41808,2010,6
obsr102462,2010,7
obsr181634,2010,3
obsr18128,2010,9
obsr89131,2010,5
obsr155029,2010,5
obsr184551,2010,4
obsr28990,2010,9
obsr41808,2010,4
obsr35766,2010,3
obsr22151,2010,8
obsr30455,2010,5
obsr110473,2010,4
obsr17906,2010,6
obsr330585,2010,1
obsr117538,2010,3
obsr160067,2010,12
obsr89562,2010,5
obsr58253,2010,5
obsr41808,2010,9
obsr42655,2010,5
obsr181806,2010,7
obsr190508,2010,2
obsr29782,2010,8
obsr210678,2010,4
obsr102904,2010,7
obsr24203,2010,6
obsr105078,2010,9
obsr156744,2010,7
obsr186105,2010,4
obsr23245,2010,10
obsr238387,2010,4
obsr40728,2010,8
obsr22151,2010,2
obsr122047,2010,3
obsr185422,2010,10
obsr150845,2010,3
obsr26228,2010,5
obsr213689,2010,4
obsr30455,2010,8
obsr151133,2010,7
obsr20226,2010,12
obsr216196,2010,11
obsr53100,2010,10
obsr145848,2010,5
obsr93009,2010,10
obsr28990,2010,4
obsr141449,2010,12
obsr42623,2010,4
obsr190748,2010,1
obsr190508,2010,1
obsr176734,2010,5
obsr330585,2010,6
obsr100914,2010,4
obsr213679,2010,9
obsr18777,2010,5
obsr126575,2010,8
obsr7108,2010,4
obsr31215,2010,7
obsr33868,2010,11
obsr121444,2010,5
obsr30058,2010,12
obsr31215,2010,1
obsr110473,2010,11
obsr89518,2010,3
obsr21752,2010,4
obsr18128,2010,3
obsr175871,2010,10
obsr178949,2010,7
obsr44181,2010,9
obsr93009,2010,1
obsr134567,2010,10
obsr51325,2010,4
obsr93009,2010,6
obsr190654,2010,8
obsr127757,2010,5
obsr29782,2010,3
obsr185621,2010,11
obsr28990,2010,2
obsr100914,2010,8
obsr138721,2010,10
obsr50333,2010,9
obsr44181,2010,8
obsr143073,2010,8
obsr24203,2010,10
obsr8348,2010,10
obsr160067,2010,7
obsr18090,2010,4
obsr122439,2010,5
obsr216045,2010,4
obsr244792,2010,5
obsr39454,2010,11
obsr177019,2010,4
obsr105328,2010,5
obsr39944,2010,7
obsr146205,2010,8
obsr51241,2010,2
obsr190508,2010,10
obsr217058,2010,7
obsr185788,2010,10
obsr156744,2010,9
obsr2267,2010,5
obsr237329,2010,3
obsr46566,2010,10
obsr100914,2010,3
obsr57774,2010,9
obsr142118,2010,9
obsr94050,2010,4
obsr322860,2010,5
obsr229871,2010,9
obsr41808,2010,10
obsr175871,2010,3
obsr392087,2010,5
obsr24203,2010,8
obsr18777,2010,8
obsr20226,2010,6
obsr330585,2010,9
obsr1066210,2010,3
obsr110441,2010,8
obsr178949,2010,5
obsr206932,2010,2
obsr234097,2010,11
obsr122047,2010,8
obsr209698,2010,5
obsr122047,2010,4
obsr39454,2010,12
obsr20226,2010,11
obsr57774,2010,10
obsr181806,2010,6
obsr206933,2010,9
obsr202934,2010,5
obsr93009,2010,11
obsr24203,2010,5
obsr51241,2010,3
obsr22151,2010,6
obsr30455,2010,9
obsr35766,2010,4
obsr41808,2010,7
obsr53100,2010,8
obsr53100,2010,1
obsr91119,2010,9
obsr110473,2010,12
obsr11194,2010,4
obsr182394,2010,9
obsr330585,2010,11
obsr58253,2010,4
obsr202251,2010,5
obsr117538,2010,7
obsr117538,2010,8
obsr155183,2010,5
obsr224444,2010,12
obsr206933,2010,6
obsr161805,2010,9
obsr143887,2010,4
obsr101592,2010,2
obsr89428,2010,2
obsr186105,2010,1
obsr1578,2010,6
obsr22151,2010,5
obsr39454,2010,5
obsr102904,2010,11
obsr24203,2010,2
obsr142692,2010,4
obsr39454,2010,3
obsr24203,2010,1
obsr206932,2010,3
obsr58165,2010,9
obsr234593,2010,3
obsr202251,2010,7
obsr160930,2010,12
obsr18090,2010,6
obsr88554,2010,6
obsr97293,2010,5
obsr53100,2010,7
obsr50333,2010,7
obsr35766,2010,6
obsr110441,2010,5
obsr211837,2010,5
obsr164612,2010,2
obsr297728,2010,9
obsr194111,2010,5
obsr53387,2010,5
obsr105328,2010,12
obsr18090,2010,3
obsr30455,2010,10
obsr107039,2010,1
obsr33868,2010,2
obsr928012,2010,5
obsr228248,2010,8
obsr171621,2010,10
obsr22529,2010,7
obsr265943,2010,5
obsr21346,2010,5
obsr195212,2010,9
obsr231923,2010,10
obsr60088,2010,11
obsr146205,2010,12
obsr23245,2010,1
obsr7108,2010,7
obsr42655,2010,3
obsr21166,2010,3
obsr50333,2010,5
obsr118164,2010,11
obsr216196,2010,5
obsr172619,2010,6
obsr93009,2010,2
obsr173028,2010,4
obsr120366,2010,5
obsr21346,2010,7
obsr44181,2010,4
obsr145570,2010,1
obsr105328,2010,1
obsr208119,2010,4
obsr7291,2010,5
obsr206932,2010,4
obsr41746,2010,1
obsr11194,2010,10
obsr106700,2010,10
obsr161805,2010,3
obsr118164,2010,3
obsr97293,2010,9
obsr187253,2010,4
obsr58253,2010,3
obsr176734,2010,2
obsr236162,2010,12
obsr28990,2010,12
obsr150845,2010,1
obsr18128,2010,2
obsr50333,2010,10
obsr39944,2010,10
obsr55778,2010,10
obsr243748,2010,3
obsr167259,2010,9
obsr110441,2010,4
obsr24203,2010,11
obsr342555,2010,3
obsr102462,2010,8
obsr110473,2010,3
obsr115891,2010,1
obsr102462,2010,3
obsr213627,2010,3
obsr161403,2010,11
obsr195073,2010,7
obsr190508,2010,7
obsr105328,2010,7
obsr40728,2010,5
obsr89518,2010,5
obsr20565,2010,3
obsr7108,2010,3
obsr219412,2010,11
obsr29183,2010,9
obsr138721,2010,9
obsr115891,2010,2
obsr117538,2010,11
obsr141075,2010,12
obsr102462,2010,12
obsr227219,2010,10
obsr238387,2010,10
obsr203489,2010,4
obsr233047,2010,10
obsr35766,2010,5
obsr97449,2010,12
obsr174738,2010,6
obsr229873,2010,10
obsr175871,2010,11
obsr56479,2010,11
obsr173469,2010,4
obsr51325,2010,10
obsr143887,2010,12
obsr189310,2010,9
obsr183556,2010,4
obsr219412,2010,5
obsr31215,2010,8
obsr673869,2010,12
obsr97449,2010,7
obsr3206,2010,1
obsr97449,2010,9
obsr184551,2010,9
obsr162861,2010,10
obsr57774,2010,8
obsr92769,2010,12
obsr115891,2010,9
obsr121444,2010,8
obsr88554,2010,5
obsr181463,2010,6
obsr3206,2010,10
obsr204797,2010,7
obsr155029,2010,9
obsr184551,2010,8
obsr439989,2010,9
obsr219412,2010,7
obsr60921,2010,5
obsr141075,2010,3
obsr142692,2010,1
obsr203451,2010,5
obsr18303,2010,3
obsr175871,2010,8
obsr126911,2010,9
obsr133050,2010,6
obsr21752,2010,2
obsr106700,2010,12
obsr89428,2010,5
obsr219412,2010,9
obsr20226,2010,7
obsr233047,2010,11
obsr35766,2010,12
obsr134374,2010,6
obsr97449,2010,8
obsr12006,2010,1
obsr141075,2010,1
obsr183456,2010,12
obsr21752,2010,10
obsr20565,2010,5
obsr3206,2010,2
obsr89518,2010,12
obsr21752,2010,3
obsr56479,2010,3
obsr3206,2010,3
obsr202251,2010,2
obsr213627,2010,12
obsr21752,2010,7
obsr210678,2010,5
obsr44181,2010,2
obsr142692,2010,6
obsr89518,2010,9
obsr190508,2010,9
obsr57774,2010,7
obsr53511,2010,5
obsr131566,2010,1
obsr118882,2010,6
obsr143073,2010,9
obsr129392,2010,7
obsr232208,2010,10
obsr181634,2010,10
obsr42623,2010,3
obsr11194,2010,2
obsr236484,2010,12
obsr118164,2010,4
obsr197809,2010,7
obsr213679,2010,10
obsr176731,2010,9
obsr190748,2010,5
obsr229016,2010,10
obsr204092,2010,12
obsr236803,2010,12
obsr180878,2010,3
obsr17906,2010,5
obsr197809,2010,8
obsr184015,2010,5
obsr160067,2010,11
obsr8107,2010,7
obsr176659,2010,9
obsr102203,2010,8
obsr38868,2010,4
obsr156744,2010,10
obsr57774,2010,5
obsr6553,2010,3
obsr41337,2010,5
obsr89562,2010,7
obsr202511,2010,5
obsr110441,2010,1
obsr195212,2010,5
obsr7108,2010,6
obsr229151,2010,4
obsr209915,2010,2
obsr42655,2010,4
obsr213679,2010,5
obsr1578,2010,7
obsr210456,2010,5
obsr280086,2010,4
obsr44181,2010,7
obsr23110,2010,11
obsr94050,2010,5
obsr33868,2010,3
obsr177019,2010,5
obsr163772,2010,10
obsr50333,2010,8
obsr95598,2010,11
obsr126575,2010,2
obsr94907,2010,1
obsr213024,2010,3
obsr18777,2010,4
obsr86405,2010,7
obsr143887,2010,10
obsr97293,2010,2
obsr213627,2010,9
obsr52522,2010,5
obsr35766,2010,8
obsr131471,2010,3
obsr29782,2010,4
obsr105328,2010,8
obsr60088,2010,5
obsr53387,2010,7
obsr234593,2010,12
obsr95598,2010,2
obsr38868,2010,6
obsr7291,2010,4
obsr121989,2010,4
obsr143073,2010,7
obsr235333,2010,11
obsr21752,2010,6
obsr160067,2010,10
obsr51241,2010,9
obsr238387,2010,3
obsr149113,2010,9
obsr163772,2010,6
obsr53511,2010,1
obsr190508,2010,11
obsr197809,2010,4
obsr116821,2010,5
obsr18777,2010,3
obsr192204,2010,3
obsr93009,2010,7
obsr206757,2010,2
obsr39454,2010,10
obsr229016,2010,9
obsr18777,2010,10
obsr142692,2010,3
obsr35766,2010,7
obsr211078,2010,3
obsr175003,2010,12
obsr209698,2010,4
obsr88554,2010,4
obsr238010,2010,5
obsr138561,2010,5
obsr146205,2010,4
obsr318670,2010,8
obsr185422,2010,7
obsr200252,2010,1
obsr181634,2010,8
obsr146205,2010,9
obsr7291,2010,1
obsr21166,2010,4
obsr14526,2010,4
obsr41808,2010,3
obsr180878,2010,4
obsr176659,2010,8
obsr209698,2010,11
obsr51193,2010,4
obsr107791,2010,12
obsr230107,2010,10
obsr118164,2010,10
obsr138561,2010,9
obsr121444,2010,3
obsr226882,2010,12
obsr23245,2010,6
obsr136531,2010,4
obsr186637,2010,4
obsr51325,2010,6
obsr161403,2010,4
obsr42655,2010,9
obsr238387,2010,7
obsr342555,2010,7
obsr91119,2010,10
obsr161403,2010,2
obsr176659,2010,1
obsr28990,2010,8
obsr163891,2010,5
obsr99896,2010,9
obsr197993,2010,3
obsr210133,2010,4
obsr91247,2010,7
obsr96691,2010,2
obsr39944,2010,1
obsr163954,2010,5
obsr50454,2010,1
obsr182394,2010,5
obsr147163,2010,2
obsr104783,2010,10
obsr219787,2010,5
obsr312385,2010,5
obsr136531,2010,10
obsr180878,2010,1
obsr8523,2010,10
obsr131471,2010,4
obsr50333,2010,12
obsr190654,2010,7
obsr39043,2010,4
obsr112160,2010,11
obsr295684,2010,5
obsr110441,2010,12
obsr97293,2010,6
obsr171621,2010,11
obsr103363,2010,1
obsr36128,2010,2
obsr146205,2010,2
obsr177019,2010,7
obsr166861,2010,5
obsr105078,2010,3
obsr92769,2010,3
obsr233983,2010,11
obsr2267,2010,3
obsr139353,2010,1
obsr185577,2010,4
obsr91247,2010,11
obsr41337,2010,10
obsr102203,2010,11
obsr39944,2010,12
obsr18128,2010,10
obsr105078,2010,10
obsr1066210,2010,5
obsr42717,2010,8
obsr308407,2010,3
obsr167759,2010,5
obsr95641,2010,10
obsr178949,2010,3
obsr195365,2010,8
obsr155029,2010,4
obsr162861,2010,12
obsr188811,2010,6
obsr161805,2010,11
obsr26228,2010,3
obsr20528,2010,10
obsr208119,2010,3
obsr51325,2010,2
obsr218301,2010,5
obsr88554,2010,2
obsr92769,2010,11
obsr143887,2010,11
obsr131921,2010,5
obsr126575,2010,9
obsr232763,2010,11
obsr91247,2010,10
obsr155029,2010,3
obsr95262,2010,3
obsr211888,2010,11
obsr118164,2010,1
obsr53387,2010,10
obsr188956,2010,3
obsr230134,2010,2
obsr143887,2010,1
obsr178040,2010,12
obsr180878,2010,2
obsr215786,2010,11
obsr31905,2010,2
obsr190748,2010,9
obsr146205,2010,6
obsr184551,2010,3
obsr96691,2010,11
obsr342555,2010,1
obsr219079,2010,5
obsr18090,2010,8
obsr238387,2010,5
obsr98373,2010,6
obsr206866,2010,7
obsr21166,2010,10
obsr31215,2010,3
obsr181634,2010,4
obsr95641,2010,11
obsr145570,2010,2
obsr109517,2010,5
obsr754139,2010,9
obsr2267,2010,4
obsr163772,2010,7
obsr211346,2010,5
obsr163772,2010,5
obsr146572,2010,4
obsr8348,2010,9
obsr160067,2010,5
obsr42623,2010,1
obsr115623,2010,3
obsr143073,2010,6
obsr146205,2010,3
obsr116821,2010,4
obsr44181,2010,5
obsr107791,2010,1
obsr190508,2010,3
obsr100356,2010,5
obsr105328,2010,4
obsr42623,2010,10
obsr210461,2010,5
obsr92769,2010,2
obsr100914,2010,10
obsr181634,2010,6
obsr86405,2010,5
obsr143073,2010,12
obsr42655,2010,7
obsr126898,2010,4
obsr280086,2010,5
obsr43705,2010,7
obsr330585,2010,10
obsr161403,2010,8
obsr131471,2010,8
obsr39398,2010,7
obsr236803,2010,5
obsr181806,2010,4
obsr181806,2010,5
obsr146572,2010,5
obsr221322,2010,5
obsr121444,2010,9
obsr649515,2010,5
obsr194605,2010,8
obsr121519,2010,2
obsr213679,2010,11
obsr165817,2010,5
obsr89428,2010,3
obsr234084,2010,12
obsr234097,2010,12
obsr194389,2010,4
obsr95262,2010,5
obsr105328,2010,3
obsr210461,2010,10
obsr30058,2010,1
obsr146205,2010,11
obsr53511,2010,9
obsr7108,2010,5
obsr12006,2010,3
obsr218210,2010,5
obsr221695,2010,9
obsr197162,2010,5
obsr91755,2010,12
obsr226882,2010,9
obsr29782,2010,9
obsr159915,2010,4
obsr48290,2010,4
obsr197809,2010,5
obsr57774,2010,4
obsr133050,2010,3
obsr280566,2010,12
obsr106700,2010,1
obsr56479,2010,1
obsr91247,2010,12
obsr144758,2010,6
obsr97449,2010,4
obsr165817,2010,4
obsr165817,2010,12
obsr23245,2010,4
obsr118882,2010,11
obsr227219,2010,12
obsr177019,2010,2
obsr216087,2010,4
obsr7108,2010,11
obsr175871,2010,12
obsr3206,2010,8
obsr167846,2010,5
obsr439989,2010,10
obsr3206,2010,11
obsr215041,2010,1
obsr175871,2010,7
obsr118882,2010,10
obsr18303,2010,4
obsr11194,2010,7
obsr134420,2010,9
obsr146271,2010,5
obsr178949,2010,12
obsr195212,2010,1
obsr160583,2010,4
obsr191780,2010,5
obsr3206,2010,4
obsr181463,2010,7
obsr229149,2010,11
obsr56479,2010,6
obsr51193,2010,6
obsr133050,2010,5
obsr117538,2010,12
obsr30455,2010,7
obsr23245,2010,8
obsr20635,2010,6
obsr134374,2010,9
obsr7108,2010,8
obsr281691,2010,12
obsr12006,2010,4
obsr91370,2010,12
obsr38567,2010,11
obsr228967,2010,10
obsr166861,2010,8
obsr41808,2010,2
obsr213627,2010,11
obsr41111,2010,2
obsr202934,2010,2
obsr56479,2010,2
obsr21752,2010,12
obsr133050,2010,4
obsr208163,2010,2
obsr95598,2010,5
obsr102462,2010,9
obsr97533,2010,5
obsr185621,2010,1
obsr222916,2010,10
obsr150845,2010,6
obsr17906,2010,1
obsr229743,2010,6
obsr143073,2010,4
obsr187109,2010,1
obsr53100,2010,9
obsr165817,2010,8
obsr18777,2010,12
obsr176734,2010,1
obsr175871,2010,2
obsr60088,2010,3
obsr131471,2010,9
obsr18090,2010,1
obsr200944,2010,5
obsr161403,2010,6
obsr178004,2010,4
obsr150845,2010,11
obsr18128,2010,1
obsr42717,2010,10
obsr7108,2010,9
obsr21578,2010,9
obsr173028,2010,5
obsr112579,2010,3
obsr95262,2010,4
obsr166861,2010,10
obsr189310,2010,8
obsr102462,2010,2
obsr173028,2010,3
obsr24203,2010,3
obsr52522,2010,12
obsr102462,2010,5
obsr237437,2010,12
obsr20565,2010,9
obsr178040,2010,3
obsr14526,2010,3
obsr18777,2010,11
obsr100914,2010,12
obsr97519,2010,8
obsr11194,2010,6
obsr215041,2010,4
obsr22151,2010,9
obsr56433,2010,4
obsr190508,2010,5
obsr118882,2010,5
obsr166632,2010,5
obsr127757,2010,2
obsr29782,2010,10
obsr52522,2010,1
obsr202251,2010,3
obsr190748,2010,10
obsr212445,2010,5
obsr308407,2010,12
obsr229149,2010,8
obsr336273,2010,4
obsr50333,2010,1
obsr100914,2010,9
obsr404879,2010,5
obsr88263,2010,4
obsr216196,2010,6
obsr24203,2010,4
obsr143073,2010,5
obsr294272,2010,10
obsr91247,2010,8
obsr156744,2010,4
obsr128058,2010,9
obsr31905,2010,3
obsr53100,2010,12
obsr176741,2010,8
obsr215041,2010,5
obsr218315,2010,7
obsr318670,2010,11
obsr100914,2010,5
obsr156744,2010,11
obsr206932,2010,5
obsr195212,2010,12
obsr29183,2010,3
obsr450977,2010,12
obsr95262,2010,10
obsr58165,2010,8
obsr22151,2010,3
obsr185788,2010,7
obsr178949,2010,6
obsr40608,2010,6
obsr222379,2010,7
obsr194605,2010,6
obsr163891,2010,9
obsr205088,2010,1
obsr126575,2010,10
obsr342555,2010,4
obsr39944,2010,2
obsr98373,2010,4
obsr130801,2010,5
obsr198314,2010,6
obsr237820,2010,12
obsr183708,2010,8
obsr18173,2010,8
obsr204092,2010,5
obsr200467,2010,5
obsr118164,2010,8
obsr228248,2010,11
obsr110473,2010,10
obsr142692,2010,7
obsr163891,2010,3
obsr40608,2010,5
obsr165990,2010,4
obsr126911,2010,8
obsr110441,2010,11
obsr12006,2010,7
obsr229871,2010,6
obsr202511,2010,9
obsr202251,2010,1
obsr213689,2010,12
obsr160067,2010,6
obsr330585,2010,3
obsr105078,2010,4
obsr21578,2010,10
obsr110441,2010,7
obsr208119,2010,2
obsr206933,2010,12
obsr1578,2010,5
obsr415433,2010,5
obsr177019,2010,10
obsr21346,2010,10
obsr60088,2010,6
obsr1070599,2010,4
obsr110473,2010,2
obsr7291,2010,6
obsr30455,2010,11
obsr236484,2010,8
obsr165990,2010,5
obsr194111,2010,4
obsr176734,2010,4
obsr60088,2010,4
obsr161403,2010,10
obsr206296,2010,4
obsr219537,2010,12
obsr41808,2010,11
obsr131471,2010,5
obsr138370,2010,5
obsr160583,2010,1
obsr429131,2010,11
obsr147163,2010,4
obsr20226,2010,8
obsr91119,2010,2
obsr97519,2010,5
obsr91247,2010,9
obsr165817,2010,11
obsr53100,2010,2
obsr194389,2010,1
obsr352579,2010,11
obsr139353,2010,4
obsr94050,2010,7
obsr176999,2010,3
obsr151133,2010,8
obsr96691,2010,9
obsr162174,2010,8
obsr268817,2010,5
obsr97519,2010,6
obsr89349,2010,4
obsr18128,2010,4
obsr40728,2010,6
obsr190748,2010,7
obsr330585,2010,8
obsr2808,2010,10
obsr280086,2010,6
obsr89428,2010,4
obsr97293,2010,7
obsr23245,2010,9
obsr163772,2010,1
obsr21346,2010,11
obsr100435,2010,6
obsr58253,2010,7
obsr142692,2010,5
obsr21752,2010,1
obsr176659,2010,10
obsr330585,2010,4
obsr89562,2010,10
obsr97533,2010,3
obsr202934,2010,3
obsr14774,2010,5
obsr52125,2010,12
obsr11194,2010,12
obsr22151,2010,1
obsr101835,2010,5
obsr121989,2010,5
obsr215041,2010,10
obsr102462,2010,11
obsr97293,2010,3
obsr106700,2010,7
obsr26880,2010,5
obsr226384,2010,5
obsr186105,2010,2
obsr90347,2010,4
obsr181634,2010,11
obsr150845,2010,7
obsr502435,2010,6
obsr104651,2010,5
obsr122047,2010,2
obsr648044,2010,7
obsr173469,2010,1
obsr99498,2010,10
obsr589726,2010,10
obsr194389,2010,2
obsr18173,2010,10
obsr136531,2010,5
obsr234593,2010,4
obsr198314,2010,10
obsr219412,2010,12
obsr642042,2010,6
obsr131357,2010,3
obsr299520,2010,6
obsr160067,2010,2
obsr128058,2010,10
obsr12006,2010,6
obsr129392,2010,5
obsr115891,2010,4
obsr198314,2010,7
obsr229444,2010,9
obsr21752,2010,8
obsr128974,2010,3
obsr619614,2010,10
obsr215786,2010,9
obsr178004,2010,11
obsr22151,2010,11
obsr147638,2010,3
obsr99548,2010,7
obsr338954,2010,12
obsr198159,2010,12
obsr20226,2010,5
obsr131082,2010,10
obsr91370,2010,6
obsr210456,2010,6
obsr95514,2010,11
obsr20565,2010,11
obsr18303,2010,2
obsr91370,2010,1
obsr553622,2010,12
obsr88599,2010,6
obsr178949,2010,9
obsr57052,2010,8
obsr7918,2010,8
obsr26228,2010,6
obsr118882,2010,2
obsr264466,2010,11
obsr160067,2010,4
obsr308407,2010,5
obsr223446,2010,6
